Date,Description,Money out,Money in,Balance
13-Jan-23,MOS To Pc/simply Business • 04AEEU1143/010/111,£61.16,,£89.55
13-Dec-22,MOS To Pc/simply Business • 04AEEU1143/010/110,£61.16,,£150.71
14-Nov-22,MOS To Pc/simply Business • 04AEEU1143/010/109,£61.16,,£211.87
13-Oct-22,MOS To Pc/simply Business • 04AEEU1143/010/108,£61.16,,£273.03
11-Oct-22,MOS To Jk accountants • Inv-2477,£1 080.00,,£334.19
10-Oct-22,MOA Money added from Yes Group International Limited • Sep inv,,£1 200.00,£1 414.19
13-Sep-22,MOS To HMRC VAT • 175771573,£455.40,,£214.19
13-Sep-22,MOS To Pc/simply Business • 04AEEU1143/010/107,£61.16,,£669.59
12-Sep-22,MOA Money added from Yes Group International Limited • Aug Inv,,£600.00,£730.75
15-Aug-22,MOS To Pc/simply Business • 04AEEU1143/010/106,£61.16,,£130.75
